,Player,selector1-href,Date,From club,To club,Date of birth,Age,National player,International matches,Market value,Posición,País,To Pais
1603,Jauer Ruiz,https://www.transfermarkt.com/jauer-ruiz/profil/spieler/259226,"Jul 1, 2012",Cartagena-Cañas,Unknown,"Dec 27, 1984 ",35.0,No national team players,-,-,Defender,Costa Rica,Unknown
1604,Carlos Avedissian,https://www.transfermarkt.com/carlos-avedissian/profil/spieler/459456,"Jul 1, 2019",Malacateco,Unknown,"Mar 21, 1993 ",27.0,No national team players,-,-,Goalkeeper,Guatemala,Unknown
1605,Ariel Rodríguez,https://www.transfermarkt.com/ariel-rodriguez/profil/spieler/111902,"Jul 11, 2018",Malacateco,Unknown,"Apr 22, 1986 ",34.0,Costa RicaNo current national team players,15,€200Th.,Defensive Midfield,Guatemala,Unknown
1606,Pablo Madrigal,https://www.transfermarkt.com/pablo-madrigal/profil/spieler/375065,"Jul 1, 2011",UCR II,Unknown,"Jan 30, 1991 ",29.0,No national team players,-,-,Midfielder,Costa Rica,Unknown
1607,Javier Bennett,https://www.transfermarkt.com/javier-bennett/profil/spieler/121680,"Jul 1, 2010",Águilas,Unknown,"May 22, 1990 ",30.0,No national team players,-,-,Forward,Costa Rica,Unknown
1608,Jonathan Jiménez,https://www.transfermarkt.com/jonathan-jimenez/profil/spieler/121691,"Jul 1, 2010",Águilas,Unknown,"Oct 28, 1988 ",31.0,No national team players,-,€75Th.,Defensive Midfield,Costa Rica,Unknown
1609,Vinicio Centeno,https://www.transfermarkt.com/vinicio-centeno/profil/spieler/121682,"Jul 1, 2010",Águilas,Unknown,"Aug 10, 1989 ",31.0,No national team players,-,-,Defender,Costa Rica,Unknown
1610,Edgar Greaves,https://www.transfermarkt.com/edgar-greaves/profil/spieler/235615,"Jul 1, 2010",Águilas,Unknown,"May 8, 1984 ",36.0,No national team players,-,-,Forward,Costa Rica,Unknown
1611,Kervin Kenton,https://www.transfermarkt.com/kervin-kenton/profil/spieler/309014,"Jul 1, 2011",Alajuelense U17,Unknown,N/A ,24.0,No national team players,-,-,Centre-Back,Costa Rica,Unknown
1612,Leonardo Adams,https://www.transfermarkt.com/leonardo-adams/profil/spieler/307278,"Sep 19, 2012",Cobán Imperial,Unknown,"Apr 6, 1981 ",39.0,No national team players,-,-,Centre-Forward,Guatemala,Unknown
1613,Sergio Morales,https://www.transfermarkt.com/sergio-morales/profil/spieler/82418,"Jul 1, 2004",Comunicaciones,Unknown,"Feb 16, 1973 ",47.0,Costa RicaNo current national team players,6,-,Midfielder,Guatemala,Unknown
1614,Pedro Cubillo,https://www.transfermarkt.com/pedro-cubillo/profil/spieler/265239,"Jul 1, 1995",Marathón,Unknown,"May 12, 1968 ",52.0,Costa RicaNo current national team players,2,-,Goalkeeper,Honduras,Unknown
1615,Pedro Cubillo,https://www.transfermarkt.com/pedro-cubillo/profil/spieler/265239,"Feb 28, 2000",Marathón,Unknown,"May 12, 1968 ",52.0,Costa RicaNo current national team players,2,-,Goalkeeper,Honduras,Unknown
1616,Kendal Gallardo,https://www.transfermarkt.com/kendal-gallardo/profil/spieler/552478,"Jul 1, 2015",Cartaginés U17,Unknown,"Mar 3, 2000 ",20.0,No national team players,-,€50Th.,Left Midfield,Costa Rica,Unknown
1617,Alejandro Aguilar,https://www.transfermarkt.com/alejandro-aguilar/profil/spieler/193923,"Jan 1, 2017",Pittsburgh,Unknown,"Oct 10, 1990 ",29.0,Costa RicaNo current national team players,1,€175Th.,Centre-Forward,USA,Unknown
1618,Alonso Salazar,https://www.transfermarkt.com/alonso-salazar/profil/spieler/263078,"Jan 1, 2012",AD La Suerte,Unknown,"May 21, 1986 ",34.0,No national team players,-,-,Central Midfield,Costa Rica,Unknown
1619,José Alberto Solano,https://www.transfermarkt.com/jose-alberto-solano/profil/spieler/584248,"Jul 1, 1999",Xelajú,Unknown,"Feb 29, 1968 ",52.0,Costa RicaNo current national team players,7,-,Midfielder,Guatemala,Unknown
1620,Saúl Phillip,https://www.transfermarkt.com/saul-phillip/profil/spieler/90848,"Jul 1, 2017",Deportivo Mixco,Unknown,"Oct 3, 1984 ",35.0,No national team players,-,-,Defensive Midfield,Guatemala,Unknown
1621,Alexis Rada Paniagua,https://www.transfermarkt.com/alexis-rada-paniagua/profil/spieler/341037,"Jul 1, 2015",Plan-les-Ouates,Unknown,"Apr 8, 1992 ",28.0,No national team players,-,-,Midfielder,Suiza,Unknown
1622,Diego Delgado,https://www.transfermarkt.com/diego-delgado/profil/spieler/419777,"Jul 1, 2010",Ramonense,Unknown,"Jun 25, 1990 ",30.0,No national team players,-,-,Left-Back,Costa Rica,Unknown
1623,Érick Rojas,https://www.transfermarkt.com/erick-rojas/profil/spieler/318205,"Jul 1, 2010",Ramonense,Unknown,"Feb 3, 1990 ",30.0,No national team players,-,-,Defender,Costa Rica,Unknown
1624,Bryan Solórzano,https://www.transfermarkt.com/bryan-solorzano/profil/spieler/229933,"Jul 1, 2010",Ramonense,Unknown,"Jan 5, 1988 ",32.0,No national team players,-,-,Left Midfield,Costa Rica,Unknown
1625,Lee Zapata,https://www.transfermarkt.com/lee-zapata/profil/spieler/268191,"Jan 1, 2012",Ramonense,Unknown,"Sep 23, 1985 ",34.0,No national team players,-,-,Defender,Costa Rica,Unknown
1626,Julio Carvajal,https://www.transfermarkt.com/julio-carvajal/profil/spieler/341700,"Jul 1, 2010",Ramonense,Unknown,"Jun 23, 1988 ",32.0,No national team players,-,-,Midfielder,Costa Rica,Unknown
1627,Christian Cisneros,https://www.transfermarkt.com/christian-cisneros/profil/spieler/341314,"Jul 1, 2010",Ramonense,Unknown,"Mar 27, 1985 ",35.0,No national team players,-,-,Midfielder,Costa Rica,Unknown
1628,Warren Granados,https://www.transfermarkt.com/warren-granados/profil/spieler/113871,"Jul 1, 2012",Ramonense,Unknown,"Dec 6, 1981 ",38.0,Costa RicaNo current national team players,7,-,Midfielder,Costa Rica,Unknown
1629,Luis Martínez,https://www.transfermarkt.com/luis-martinez/profil/spieler/593681,"Jul 1, 1999",Ramonense,Unknown,"Feb 23, 1976 ",44.0,Costa RicaNo current national team players,5,-,Forward,Costa Rica,Unknown
1630,Carlos Espinoza,https://www.transfermarkt.com/carlos-espinoza/profil/spieler/321330,"Jan 1, 2010",Ramonense,Unknown,"Feb 25, 1976 ",44.0,No national team players,-,-,Defender,Costa Rica,Unknown
1631,José Francisco Alfaro,https://www.transfermarkt.com/jose-francisco-alfaro/profil/spieler/699452,"Jul 1, 1998",Ramonense,Unknown,"Feb 28, 1974 ",46.0,Costa RicaNo current national team players,1,-,Midfielder,Costa Rica,Unknown
1632,Ronald Cháves,https://www.transfermarkt.com/ronald-chaves/profil/spieler/643756,"Jul 1, 2003",Ramonense,Unknown,"Dec 6, 1970 ",49.0,Costa RicaNo current national team players,4,-,Midfielder,Costa Rica,Unknown
1633,Fárlen Ilama,https://www.transfermarkt.com/farlen-ilama/profil/spieler/713938,"Jul 1, 2005",Ramonense,Unknown,"Aug 23, 1972 ",48.0,Costa RicaNo current national team players,7,-,Forward,Costa Rica,Unknown
1634,Gustavo Brenes,https://www.transfermarkt.com/gustavo-brenes/profil/spieler/344875,"Jul 1, 2010",Ramonense,Unknown,,,No national team players,-,-,Defender,Costa Rica,Unknown
1635,Kenneth Cordero,https://www.transfermarkt.com/kenneth-cordero/profil/spieler/326003,"Jul 1, 2015",Mart. Methodist,Unknown,"Apr 22, 1990 ",30.0,No national team players,-,-,Forward,USA,Unknown
1636,Raymer Solano,https://www.transfermarkt.com/raymer-solano/profil/spieler/260369,"Jul 1, 2013",San Ramón,Unknown,"Jan 13, 1980 ",40.0,No national team players,-,-,Forward,Costa Rica,Unknown
1637,Edwin Leal,https://www.transfermarkt.com/edwin-leal/profil/spieler/263074,"Jul 1, 2012",AD Guajira,Unknown,"Jan 22, 1992 ",28.0,No national team players,-,-,Midfielder,Costa Rica,Unknown
1638,Johnny Cubero,https://www.transfermarkt.com/johnny-cubero/profil/spieler/79973,"Nov 14, 2019",Retired,Unknown,"Feb 23, 1976 ",44.0,Costa RicaNo current national team players,5,-,Centre-Forward,Retired,Unknown
1639,Ignacio Solís,https://www.transfermarkt.com/ignacio-solis/profil/spieler/285678,"Jul 1, 2015",Lenoir-Rhyne,Unknown,"Dec 16, 1991 ",28.0,No national team players,-,-,Defender,USA,Unknown
1640,Gabelo Conejo,https://www.transfermarkt.com/gabelo-conejo/profil/spieler/92916,"Jul 1, 1992",Albacete,Unknown,"Jan 1, 1960 ",60.0,Costa RicaNo current national team players,29,-,Goalkeeper,España,Unknown
1641,Gabelo Conejo,https://www.transfermarkt.com/gabelo-conejo/profil/spieler/92916,"Jul 1, 1994",Albacete,Unknown,"Jan 1, 1960 ",60.0,Costa RicaNo current national team players,29,-,Goalkeeper,España,Unknown
1642,Román Vargas,https://www.transfermarkt.com/roman-vargas/profil/spieler/699659,"Jul 1, 2005",Santacruceña,Unknown,"Oct 27, 1978 ",41.0,Costa RicaNo current national team players,1,-,Midfielder,Costa Rica,Unknown
1643,Brandón Poltronieri,https://www.transfermarkt.com/brandon-poltronieri/profil/spieler/112959,"Jul 1, 2017",Indy Eleven,Unknown,"Jan 18, 1986 ",34.0,No national team players,-,€200Th.,Left-Back,USA,Unknown
1644,Trino de la O,https://www.transfermarkt.com/trino-de-la-o/profil/spieler/746562,"Jul 1, 1993",AD Limonense,Unknown,"Nov 3, 1969 ",50.0,Costa RicaNo current national team players,2,-,Midfielder,Costa Rica,Unknown
1645,Trino de la O,https://www.transfermarkt.com/trino-de-la-o/profil/spieler/746562,"Jul 1, 2002",AD Limonense,Unknown,"Nov 3, 1969 ",50.0,Costa RicaNo current national team players,2,-,Midfielder,Costa Rica,Unknown
1646,César Calderón,https://www.transfermarkt.com/cesar-calderon/profil/spieler/281761,"Jul 1, 2015",Atl. Chiriquí,Unknown,"Oct 30, 1987 ",32.0,No national team players,-,-,Midfielder,Panamá,Unknown
1647,Sebastián Sánchez,https://www.transfermarkt.com/sebastian-sanchez/profil/spieler/281786,"Jul 1, 2010",Sagrada Familia,Unknown,"Dec 24, 1988 ",31.0,No national team players,-,-,Midfielder,Costa Rica,Unknown
1648,Érick Araya,https://www.transfermarkt.com/erick-araya/profil/spieler/278147,"Jul 1, 2010",Sagrada Familia,Unknown,"May 14, 1982 ",38.0,No national team players,-,-,Centre-Back,Costa Rica,Unknown
1649,Mauricio Alpízar,https://www.transfermarkt.com/mauricio-alpizar/profil/spieler/593237,"Jul 1, 2008",Liberia Mía,Unknown,"Jan 30, 1979 ",41.0,Costa RicaNo current national team players,3,-,Midfielder,Costa Rica,Unknown
1650,Raúl Fernández,https://www.transfermarkt.com/raul-fernandez/profil/spieler/214819,"Jan 1, 2017",N. Concepción,Unknown,"Jul 29, 1984 ",36.0,No national team players,-,-,Left-Back,Guatemala,Unknown
1651,Randy Cubero,https://www.transfermarkt.com/randy-cubero/profil/spieler/90837,"Jan 1, 2014",Halcones,Unknown,"Nov 28, 1982 ",37.0,No national team players,-,-,Defensive Midfield,Guatemala,Unknown
1652,Carlos Quesada,https://www.transfermarkt.com/carlos-quesada/profil/spieler/211472,"Jul 1, 2014",Ban,Unknown,"Dec 29, 1984 ",35.0,No national team players,-,-,Defender,Ban,Unknown
1653,Roger Estrada,https://www.transfermarkt.com/roger-estrada/profil/spieler/260888,"Jul 1, 2010",El Roble,Unknown,"Mar 12, 1984 ",36.0,No national team players,-,-,Defender,Costa Rica,Unknown
1654,Erick Mata,https://www.transfermarkt.com/erick-mata/profil/spieler/665860,"Jul 1, 2000",Municipal Osa,Unknown,,,Costa RicaNo current national team players,8,-,Defender,Costa Rica,Unknown
1655,Enar Bolaños,https://www.transfermarkt.com/enar-bolanos/profil/spieler/194907,"Jan 1, 2011",Alacranes,Unknown,"Jul 18, 1983 ",37.0,No national team players,-,-,Defender,El Salvador,Unknown
1656,José Rafael Meza,https://www.transfermarkt.com/jose-rafael-meza/profil/spieler/422406,"Jan 1, 1949",Atlante,Unknown,"Jul 6, 1920",,Costa RicaNo current national team players,-,-,Forward,MX,Unknown
1657,Rolando Velásquez,https://www.transfermarkt.com/rolando-velasquez/profil/spieler/757001,"Jul 1, 1997",Mpl. Puntarenas,Unknown,"Dec 20, 1970 ",49.0,Costa RicaNo current national team players,3,-,Midfielder,Costa Rica,Unknown
1658,Carlos Rodríguez,https://www.transfermarkt.com/carlos-rodriguez/profil/spieler/577619,"Jul 1, 2005",Mpl. Puntarenas,Unknown,"Aug 8, 1976 ",44.0,Costa RicaNo current national team players,2,-,Midfielder,Costa Rica,Unknown
1659,Ronald Cháves,https://www.transfermarkt.com/ronald-chaves/profil/spieler/643756,"Jul 1, 1991",Mpl. Puntarenas,Unknown,"Dec 6, 1970 ",49.0,Costa RicaNo current national team players,4,-,Midfielder,Costa Rica,Unknown
1660,Sergio Morales,https://www.transfermarkt.com/sergio-morales/profil/spieler/82418,"Jul 1, 2001",Mpl. Puntarenas,Unknown,"Feb 16, 1973 ",47.0,Costa RicaNo current national team players,6,-,Midfielder,Costa Rica,Unknown
1661,Óscar Rojas,https://www.transfermarkt.com/oscar-rojas/profil/spieler/38224,"Jul 1, 2013",La Piedad,Unknown,"Apr 27, 1979 ",41.0,Costa RicaNo current national team players,27,-,Right Midfield,MX,Unknown
1662,Reymond Harris,https://www.transfermarkt.com/reymond-harris/profil/spieler/779761,"Jul 1, 2000",Tiburones Rojos,Unknown,"Nov 27, 1970 ",49.0,Costa RicaNo current national team players,3,-,Defender,MX,Unknown
1663,Albin Gamboa,https://www.transfermarkt.com/albin-gamboa/profil/spieler/583834,"Jan 8, 1997",Götzis,Unknown,"Jan 14, 1976 ",44.0,No national team players,-,-,Forward,Austria,Unknown
1664,Esteban Cano,https://www.transfermarkt.com/esteban-cano/profil/spieler/742596,"Jan 1, 2016",Saprissa U20,Unknown,"May 8, 1995 ",25.0,No national team players,-,€50Th.,Midfielder,Costa Rica,Unknown
1665,Atahualpa González,https://www.transfermarkt.com/atahualpa-gonzalez/profil/spieler/147687,"Jan 1, 2000",Mineros,Unknown,"May 4, 1977 ",43.0,No national team players,-,-,Centre-Back,MX,Unknown
1666,Atahualpa González,https://www.transfermarkt.com/atahualpa-gonzalez/profil/spieler/147687,"Jul 1, 2016",Estudiantes,Unknown,"May 4, 1977 ",43.0,No national team players,-,-,Centre-Back,Venezuela,Unknown
1667,José Rafael Meza,https://www.transfermarkt.com/jose-rafael-meza/profil/spieler/422406,"Jul 1, 1944",Estudiantes,Unknown,"Jul 6, 1920",,Costa RicaNo current national team players,-,-,Forward,Venezuela,Unknown
1668,Adrián Núñez,https://www.transfermarkt.com/adrian-nunez/profil/spieler/403083,"Jul 1, 2020",Clemson Tigers,Unknown,"Dec 2, 1996 ",23.0,No national team players,-,-,Right Midfield,USA,Unknown
1669,Johan Bonilla,https://www.transfermarkt.com/johan-bonilla/profil/spieler/431126,"Jan 1, 2019",Walter Ferretti,Unknown,"May 30, 1996 ",24.0,No national team players,-,-,Attacking Midfield,Nicaragua,Unknown
1670,Kervin Kenton,https://www.transfermarkt.com/kervin-kenton/profil/spieler/309014,"Jul 1, 2015",Oberhausen II,Unknown,N/A ,24.0,No national team players,-,-,Centre-Back,Alemania,Unknown
1671,Kervin Kenton,https://www.transfermarkt.com/kervin-kenton/profil/spieler/309014,"Aug 1, 2020",Chicago FC,Unknown,N/A ,24.0,No national team players,-,-,Centre-Back,USA,Unknown
1672,Malcom Frago,https://www.transfermarkt.com/malcom-frago/profil/spieler/596314,"Jan 1, 2014",Sounders FC 2,Unknown,"Jul 19, 1995 ",25.0,No national team players,-,-,Left Midfield,USA,Unknown
1673,Marcelo Acuña,https://www.transfermarkt.com/marcelo-acuna/profil/spieler/336597,"Jan 1, 2018",Virginia Tech,Unknown,"Aug 28, 1995 ",24.0,No national team players,-,-,Midfielder,USA,Unknown
1674,Wilmer López,https://www.transfermarkt.com/wilmer-lopez/profil/spieler/278876,"Jan 1, 2015",Alajuelense U20,Juv. Escazuceña,"Feb 11, 1993 ",27.0,No national team players,-,-,Midfielder,Costa Rica,Costa Rica
1675,Fabián Solano,https://www.transfermarkt.com/fabian-solano/profil/spieler/278372,"Jul 1, 2014",Alajuelense U20,Juv. Escazuceña,"May 11, 1992 ",28.0,No national team players,-,-,Centre-Back,Costa Rica,Costa Rica
1676,Pablo Martínez,https://www.transfermarkt.com/pablo-martinez/profil/spieler/131253,"Jul 1, 2012",Alajuelense U20,Juv. Escazuceña,"Jan 14, 1992 ",28.0,No national team players,-,-,Midfielder,Costa Rica,Costa Rica
1677,Bryan Jiménez,https://www.transfermarkt.com/bryan-jimenez/profil/spieler/481109,"Jul 1, 2019",LD Alajuelense,Juv. Escazuceña,"May 29, 1996 ",24.0,No national team players,-,-,Centre-Forward,Costa Rica,Costa Rica
1678,Guillermo Moreira,https://www.transfermarkt.com/guillermo-moreira/profil/spieler/215820,"Jan 8, 2014",Belén,Juv. Escazuceña,"Apr 11, 1990 ",30.0,No national team players,-,-,Goalkeeper,Costa Rica,Costa Rica
1679,Joshua Munguía,https://www.transfermarkt.com/joshua-munguia/profil/spieler/380242,"Jul 1, 2017",CS Uruguay,Juv. Escazuceña,"Aug 15, 1991 ",29.0,No national team players,-,-,Left-Back,Costa Rica,Costa Rica
1680,Fabián Montiel,https://www.transfermarkt.com/fabian-montiel/profil/spieler/281778,"Jul 1, 2011",CS Uruguay,Juv. Escazuceña,"Jun 30, 1990 ",30.0,No national team players,-,-,Left-Back,Costa Rica,Costa Rica
1681,Anthony Velásquez,https://www.transfermarkt.com/anthony-velasquez/profil/spieler/240595,"Jul 1, 2017",CS Uruguay,Juv. Escazuceña,"Oct 23, 1990 ",29.0,No national team players,-,-,Goalkeeper,Costa Rica,Costa Rica
1682,Bryan Orué,https://www.transfermarkt.com/bryan-orue/profil/spieler/122579,"Jan 1, 2012",CS Uruguay,Juv. Escazuceña,"Jul 8, 1988 ",32.0,No national team players,-,-,Centre-Back,Costa Rica,Costa Rica
1683,Christian Blanco,https://www.transfermarkt.com/christian-blanco/profil/spieler/108727,"Jul 1, 2019",CS Uruguay,Juv. Escazuceña,"Nov 4, 1980 ",39.0,Costa RicaNo current national team players,2,-,Centre-Back,Costa Rica,Costa Rica
1684,Daniel Jiménez,https://www.transfermarkt.com/daniel-jimenez/profil/spieler/90840,"Jul 1, 2019",CS Uruguay,Juv. Escazuceña,"Dec 3, 1983 ",36.0,Costa RicaNo current national team players,2,-,Attacking Midfield,Costa Rica,Costa Rica
1685,Rony Quesada,https://www.transfermarkt.com/rony-quesada/profil/spieler/270674,"Jul 1, 2014",Belén FC,Juv. Escazuceña,"Nov 4, 1993 ",26.0,No national team players,-,-,Midfielder,Costa Rica,Costa Rica
1686,Yashin Bosques,https://www.transfermarkt.com/yashin-bosques/profil/spieler/216459,"Jul 1, 2015",Belén FC,Juv. Escazuceña,"Oct 24, 1993 ",26.0,No national team players,-,-,Right Midfield,Costa Rica,Costa Rica
1687,Mauricio Ayales,https://www.transfermarkt.com/mauricio-ayales/profil/spieler/281759,"Sep 2, 2015",Belén FC,Juv. Escazuceña,"May 28, 1993 ",27.0,No national team players,-,-,Left Midfield,Costa Rica,Costa Rica
1688,David Guzmán,https://www.transfermarkt.com/david-guzman/profil/spieler/211482,"Jul 1, 2014",Belén FC,Juv. Escazuceña,"Sep 7, 1989 ",30.0,No national team players,-,-,Left Midfield,Costa Rica,Costa Rica
1689,Diego Zamora,https://www.transfermarkt.com/diego-zamora/profil/spieler/302037,"Jul 1, 2014",Belén FC,Juv. Escazuceña,"Jul 20, 1990 ",30.0,No national team players,-,-,Goalkeeper,Costa Rica,Costa Rica
1690,Geykel Waless,https://www.transfermarkt.com/geykel-waless/profil/spieler/380240,"Jul 1, 2015",Gen. Saprissa,Juv. Escazuceña,"Mar 9, 1990 ",30.0,No national team players,-,-,Midfielder,Costa Rica,Costa Rica
1691,Joshua Munguía,https://www.transfermarkt.com/joshua-munguia/profil/spieler/380242,"Jul 1, 2015",Gen. Saprissa,Juv. Escazuceña,"Aug 15, 1991 ",29.0,No national team players,-,-,Left-Back,Costa Rica,Costa Rica
1692,Brayan Fonseca,https://www.transfermarkt.com/brayan-fonseca/profil/spieler/256183,"Jul 1, 2014",UCR,Juv. Escazuceña,"Jan 1, 1994 ",26.0,No national team players,-,-,Centre-Back,Costa Rica,Costa Rica
1693,Yeremy Araya,https://www.transfermarkt.com/yeremy-araya/profil/spieler/214806,"Jul 1, 2014",UCR,Juv. Escazuceña,"Oct 7, 1988 ",31.0,No national team players,-,€125Th.,Left-Back,Costa Rica,Costa Rica
1694,Juan Carlos Armijo,https://www.transfermarkt.com/juan-carlos-armijo/profil/spieler/259215,"Jul 1, 2013",UCR,Juv. Escazuceña,"Jan 4, 1986 ",34.0,No national team players,-,-,Forward,Costa Rica,Costa Rica
1695,Christian Badilla,https://www.transfermarkt.com/christian-badilla/profil/spieler/35367,"Jan 1, 2012",UCR,Juv. Escazuceña,"Jul 11, 1978 ",42.0,Costa RicaNo current national team players,15,-,Central Midfield,Costa Rica,Costa Rica
1696,Érick Zúñiga,https://www.transfermarkt.com/erick-zuniga/profil/spieler/331962,"Jan 1, 2020",AD Carmelita,Juv. Escazuceña,"Apr 20, 1994 ",26.0,No national team players,-,-,Centre-Forward,Costa Rica,Costa Rica
1697,Jaime Valderramos,https://www.transfermarkt.com/jaime-valderramos/profil/spieler/194935,"Jan 1, 2017",AD Carmelita,Juv. Escazuceña,"Mar 16, 1990 ",30.0,No national team players,-,-,Left Midfield,Costa Rica,Costa Rica
